date,IP_sum,pub_IP_sum,pri_IP_sum,src_pub_IP_sum,dst_pub_IP_sum,src_pri_IP_sum,dst_pri_IP_sum,acc_sum,src_pub_acc,dst_pub_acc,src_pri_acc,dst_pri_acc
2020/1/19,2341,0,2341,0,0,920,2273,450000,0,0,450000,450000
2020/1/20,3120,25,3095,0,25,1791,2966,3916248,0,7234,3916248,3909014
2020/1/21,3304,58,3246,3,55,1998,3112,7264391,3,14617,7264388,7249774
2020/1/22,3367,59,3308,4,55,2098,3158,10530607,4,21871,10530603,10508736
2020/1/23,3385,59,3326,4,55,2142,3173,12832594,4,29188,12832590,12803406
2020/1/24,2357,26,2331,1,25,769,2278,1719795,1,7359,1719794,1712436
2020/1/25,2427,27,2400,1,26,848,2351,3418964,1,14624,3418963,3404340
2020/1/26,2486,27,2459,1,26,941,2403,5085141,1,21876,5085140,5063265
2020/1/27,2532,27,2505,1,26,1018,2443,6711365,1,29061,6711364,6682304
2020/1/28,2589,27,2562,1,26,1068,2492,8374038,1,36296,8374037,8337742
2020/1/29,2621,27,2594,1,26,1110,2522,10111696,1,43515,10111695,10068181
2020/1/30,2362,24,2338,0,24,815,2296,1711978,0,7184,1711978,1704794
2020/1/31,2451,24,2427,0,24,907,2381,3396892,0,14387,3396892,3382505
2020/2/1,2509,25,2484,0,25,967,2429,5072617,0,21596,5072617,5051021
2020/2/2,2565,26,2539,0,26,1047,2478,6777211,0,28872,6777211,6748339
2020/2/3,2833,27,2806,1,26,1392,2715,9055811,1,36334,9055810,9019477
2020/2/4,2619,26,2593,1,25,1115,2522,2095517,1,8584,2095516,2086933
2020/2/5,2792,26,2766,1,25,1284,2680,4145981,3,16787,4145978,4129194
2020/2/6,2901,26,2875,1,25,1414,2777,6265299,4,24329,6265295,6240970
2020/2/7,2956,26,2930,1,25,1475,2821,8399258,5,32892,8399253,8366366
2020/2/8,2979,27,2952,1,26,1498,2838,10131495,6,41528,10131489,10089967
2020/2/9,2407,26,2381,1,25,874,2330,1720848,1,8039,1720847,1712809
2020/2/10,2731,28,2703,2,26,1306,2627,3986957,2,15430,3986955,3971527
2020/2/11,2879,28,2851,2,26,1482,2765,6217463,2,22846,6217461,6194617
2020/2/12,2633,26,2607,1,25,1149,2519,2240149,1,7444,2240148,2232705
2020/2/13,2839,26,2813,1,25,1357,2706,4491864,1,14940,4491863,4476924
2020/2/14,2620,26,2594,1,25,1119,2508,2225211,2,7532,2225209,2217679
2020/2/15,2688,27,2661,1,26,1182,2569,4049839,4,15060,4049835,4034779
2020/2/16,2405,26,2379,1,25,917,2322,1831927,1,7534,1831926,1824393
2020/2/17,2667,28,2639,3,25,1266,2546,3027075,3,11576,3027072,3015499
