,company,count
0,Ad-Aware,2
1,AegisLab,4
2,AhnLab-V3,1
3,Alibaba,1
4,Antiy-AVL,2
5,Arcabit,2
6,Avast-Mobile,2
7,Avira,3
8,Babable,3
9,Baidu,1
10,BitDefender,2
11,CAT-QuickHeal,5
12,ClamAV,1
13,Comodo,1
14,Cyren,6
15,DrWeb,1
16,ESET-NOD32,8
17,Emsisoft,2
18,F-Prot,1
19,F-Secure,3
20,Fortinet,3
21,GData,2
22,Ikarus,7
23,Jiangmin,2
24,K7GW,4
25,Kaspersky,3
26,MAX,2
27,MaxSecure,1
28,McAfee,4
29,McAfee-GW-Edition,3
30,MicroWorld-eScan,2
31,NANO-Antivirus,4
32,Qihoo-360,3
33,Sophos,3
34,Symantec,2
35,SymantecMobileInsight,5
36,Tencent,2
37,Trustlook,4
38,WhiteArmor,1
39,Yandex,1
40,ZoneAlarm,3
